Region,School Year,Grade Level,Students
Region IX - Zamboanga Peninsula,2012-2013,Grade 2,110259.0
Region X - Northern Mindanao,2012-2013,Grade 2,126111.0
Region XI - Davao Region,2012-2013,Grade 2,130579.0
Region XII - Soccsksargen,2012-2013,Grade 2,119761.0
CARAGA - CARAGA,2012-2013,Grade 2,74938.0
BARMM - Bangsamoro Autonomous Region in Muslim Mindanao,2012-2013,Grade 2,135099.0
CAR - Cordillera Administrative Region,2012-2013,Grade 2,37953.0
NCR - National Capital Region,2012-2013,Grade 2,216284.0
Region I - Ilocos Region,2013-2014,Grade 2,112035.0
Region II - Cagayan Valley,2013-2014,Grade 2,82944.0
Region III - Central Luzon,2013-2014,Grade 2,240498.0
Region IV-A - CALABARZON,2013-2014,Grade 2,300402.0
Region IV-B - MIMAROPA,2013-2014,Grade 2,89735.0
Region V - Bicol Region,2013-2014,Grade 2,194616.0
Region VI - Western Visayas,2013-2014,Grade 2,212274.0
Region VII - Central Visayas,2013-2014,Grade 2,208642.0
Region VIII - Eastern Visayas,2013-2014,Grade 2,127039.0
Region IX - Zamboanga Peninsula,2013-2014,Grade 2,116278.0
Region X - Northern Mindanao,2013-2014,Grade 2,131362.0
Region XI - Davao Region,2013-2014,Grade 2,139286.0
Region XII - Soccsksargen,2013-2014,Grade 2,122082.0
CARAGA - CARAGA,2013-2014,Grade 2,75330.0
BARMM - Bangsamoro Autonomous Region in Muslim Mindanao,2013-2014,Grade 2,129277.0
CAR - Cordillera Administrative Region,2013-2014,Grade 2,39477.0
NCR - National Capital Region,2013-2014,Grade 2,224487.0
